thread_name,process_name,upid,utid,cpu,ts,dur,end_state
decon0_kthread,decon0_kthread,191,6,1,261340351644445,99569,D
swapper,,0,0,1,261340351744014,2878092,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,0,261340352291093,154134,S
MediaCodec_loop,com.google.android.youtube,701,5238,3,261340352438024,83537,S
swapper,,0,0,0,261340352445227,72631,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,0,261340352517858,96436,S
swapper,,0,0,3,261340352521561,2122437,R
swapper,,0,0,0,261340352614294,2184367,R
decon0_kthread,decon0_kthread,191,6,1,261340354622106,124512,S
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,3,261340354643998,256632,D
swapper,,0,0,1,261340354746618,154175,R
TimerDispatch,/system/bin/surfaceflinger,313,821,0,261340354798661,132812,S
swapper,,0,0,3,261340354900630,1504680,R
bigo_worker_thr,bigo_worker_thread,756,766,1,261340354900793,233683,D
surfaceflinger,/system/bin/surfaceflinger,313,10,2,261340354920975,2834188,S
swapper,,0,0,0,261340354931473,3386923,R
swapper,,0,0,1,261340355134476,3086670,R
BckgrndExec HP,/system/bin/surfaceflinger,313,1,3,261340356405310,123169,S
swapper,,0,0,3,261340356528479,1133382,R
perf_mon_update,perf_mon_update_client_task,97,113,3,261340357661861,105224,S
binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,315,4,2,261340357755163,1955322,S
swapper,,0,0,3,261340357767085,827027,R
bigo_worker_thr,bigo_worker_thread,756,766,1,261340358221146,356120,D
sugov:4,sugov:4,302,317,0,261340358318396,1919189,S
swapper,,0,0,1,261340358577266,639364,R
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,3,261340358594112,383748,S
swapper,,0,0,3,261340358977860,558065,R
decon0_kthread,decon0_kthread,191,6,1,261340359216630,406168,D
VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,315,8,3,261340359535925,67708,S
swapper,,0,0,3,261340359603633,101481,R
swapper,,0,0,1,261340359622798,415365,R
DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,464,1034,3,261340359705114,296346,S
surfaceflinger,/system/bin/surfaceflinger,313,10,2,261340359710485,592570,S
binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,315,4,3,261340360001460,175537,S
android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,355,12,1,261340360038163,231120,S
swapper,,0,0,3,261340360176997,75603,R
swapper,,0,0,0,261340360237585,1472494,R
BckgrndExec HP,/system/bin/surfaceflinger,313,1,3,261340360252600,261434,S
swapper,,0,0,1,261340360269283,500000,R
logd.writer,/system/bin/logd,295,3,2,261340360303055,99162,S
swapper,,0,0,2,261340360402217,72795,R
binder:23019_8,com.google.android.youtube,701,5165,2,261340360475012,389282,S
swapper,,0,0,3,261340360514034,343261,R
binder:23019_4,com.google.android.youtube,701,5138,1,261340360769283,86710,S
swapper,,0,0,1,261340360855993,7409790,R
CodecLooper,com.google.android.youtube,701,5225,3,261340360857295,132365,S
swapper,,0,0,2,261340360864294,1820964,R
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,3,261340360989660,120687,S
